,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
108,BOOM Sandwich - Sub of India,4.3,43,"Snacks, Indian, Desserts",Kandivali East,100,50
109,7th Heaven,3.8,16,"Bakery, Desserts",Malad Kan East,100,50
110,Itminaan Matka Biryani - Slow Cooked,4.3,43,"Biryani, North Indian, Mughlai",Kandivali East,120,60
112,Moussestruck,4.7,25,"Ice Cream, Desserts, Sweets",Kandivali West,499,0
115,Waffle Cart,3.8,30,"Desserts, Snacks, Thalis",Borivali,0,0
116,Madno - House of Sundaes,4.1,26,"Ice Cream, Beverages",Thakur Village,80,40
117,Gourmet Ice Cream Cakes by Baskin Robbins,4.3,20,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",Malad Kan East,50,20
119,Khana Khazana,4.6,32,"Indian, Chinese",Borivali,0,0
120,Tea Post,4.1,36,Beverages,Borivali West,449,0
121,Pizza Hut,4.2,28,Pizzas,Kandivali East,179,0
122,Momo Mia,2.3,26,"Chinese, Desserts, Pizzas, Burgers, Pastas, Italian",Dheeraj Regancy,100,50
123,Hola Pasta - Fresh Gourmet Pasta,3.4,43,"Pastas, Italian, Desserts, Beverages",Kandivali East,149,0
124,Libon The Cake Expert,4.2,28,Desserts,Borivali,449,0
125,New York Burrito Company,4.2,32,"Mexican, American, Continental, Snacks, Beverages, Desserts",Kandivali West,0,0
126,The Fresh Press,4.2,39,"Beverages, Juices",Malad Kan East,120,60
127,Dairy Don,3.9,26,"Beverages, Desserts",Borivali,600,10
128,McCafe by McDonald's,4.3,30,"American, Beverages, Desserts",Kandivali East,0,0
129,Bhagwati Pav Bhaji,4.1,36,"Street Food, Chinese, South Indian, North Indian",Kandivali West,499,0
130,Goragandhi Juice Corner & Veg World,4.6,34,"North Indian, South Indian, Chinese, Indian, Chaat, Fast Food, Maharashtrian, Pizzas, Juices, Mexican, Pastas",Borivali West,0,0
131,The Waffle Co.,4.4,34,"Desserts, Waffle",Kandivali West,0,0
132,99 Pancakes,4.6,32,"Desserts, Beverages",Kandivali West,449,0
133,IDC Kitchen,4.3,36,South Indian,Malad Kan East,999,0
135,Delights by INOX,4.6,18,Snacks,Kandivali East,120,60
136,GLOBO Ice Creams Of The World,4.4,43,"Ice Cream, Desserts, Bakery",Kandivali East,100,50
137,Go Zero - Guilt Free Ice Creams,4.2,14,"Ice Cream, Desserts",Kandivali East,100,50
138,The Momo Factory,4.1,27,"Tibetan, Chinese, Asian",Kandivali East,449,0
139,Food Adda,4.3,28,"Burgers, Pizzas, Fast Food, Beverages",Borivali East,100,50
140,"Bhatti Chicken - Grilled, NOT Fried!",4.2,43,"North Indian, Snacks, Fast Food, Tandoor",Kandivali East,100,50
141,Mehfil by Behrouz,4.4,29,"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages",Kandivali East,80,40
142,Tewari Brothers,4.6,33,"Snacks, Sweets, North Indian, Beverages, Desserts",Borivali,0,0
143,World Of Paratha,4.4,33,"North Indian, Beverages",Borivali,0,0
144,Bhagwati Veg Restaurant,4.3,35,"North Indian, Chinese, Biryani, South Indian",Borivali West,499,0
