,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
588,Fakth Chicken,4.4,55,"Indian, Snacks",Malad West,800,10
589,Jalaram Kathiyawadi Thali,4.3,45,Gujarati,Borivali,0,0
590,Samant Bandhu Nx,4.4,43,"Desserts, Snacks, Sweets, Beverages",Goregaon West,0,0
591,Silver Oaks,4.4,54,"North Indian, Mughlai, Chinese, Continental",Malad West,0,0
592,Jai Bholenath Kathiyawadi,4.1,49,"Thalis, Gujarati, Jain",Dahisar East,0,0
593,Cafe meter on,4.4,51,"Italian, Indian, Chinese, Continental",Borivali West,999,0
594,Choclato,4.3,41,"Desserts, Bakery",Dahisar West,0,0
595,Cafe Lajawab,4.3,53,"Arabian, Snacks",Malad Kan West,200,40
596,Mary Fast Food,4.4,47,"Chinese, Fast Food",Malad Kan West,0,0
597,Satyanarayan Lunch Home,4.3,46,"Chinese, Indian",Jog Gor East,0,0
598,Uttar Da Puttar,4.1,53,"North Indian, Indian, Punjabi, Biryani",Goregaon,800,15
599,Alfredo's,4.1,55,"Italian, European",Malad Kan West,1000,10
600,Al-Falah Shawarma,4.4,51,Lebanese,Borivali West,0,0
601,Mothers Touch Rajasthani,4.1,81,"Indian, Snacks",Malad West,999,0
602,Cravings all day,4.7,44,"Bakery, Desserts",Goregaon West	,349,0
603,Big Fat Monk,4.1,53,"Chinese, Asian, Fast Food, Desserts, Beverages",Malad West,449,0
604,44 The Food Hub,4.4,54,"Chinese, South Indian",Malad Kan West,700,10
605,Radha Krishna Fast Food - Mahavir Nagar,4.1,40,"Indian, Chinese",Kandivali West,0,0
606,Aniket Chinese Corner,3.5,28,"Chinese, North Indian, Biryani",Malad Kan West,0,0
607,Jungle Juice,4.5,29,"Beverages, Juices",Borivali,0,0
608,Indore.Online,4.3,14,"Sweets, Street Food",Malad Kan East,0,0
609,Rolls Mania,4.3,46,Fast Food,Malad East,0,0
610,Vinayak Ankit Sandwich,4.4,51,"Snacks, Continental",Kandivali West,500,15
611,Hari Om Khaman House,4.4,32,"Gujarati, Snacks, Sweets",Borivali,0,0
612,Fusion Ice Cream Cakes,4.5,30,"Ice Cream, Desserts, Bakery, Beverages",Borivali West,999,0
613,Hotel Milan Pure Veg,4.2,35,Indian,Malad East,449,0
614,TIBO Dalwada,4.6,34,"Street Food, Desserts",Kandivali West,0,0
615,Brain Freeze Ice cream & Desserts,3.8,33,"Ice Cream, Desserts",Borivali,0,0
616,Farmhouse-Palladium,4.3,53,"Indian, Tandoor, Chinese, Continental, Biryani, Seafood, Pizzas, Pastas",Borivali West,0,0
617,Amantran Restaurant,4.2,47,Meat,Dahisar,0,0
618,Monopoly-The Chinese Edition,3.9,44,"Chinese, Oriental, Continental",Borivali West,0,0
619,Dinshaw's Xpress Cafe And Restro,4.5,48,"Indian, Continental, Mexican, Pizzas, Pastas, Burgers, Snacks, Fast Food, Beverages, Juices, Ice Cream, Desserts",Borivali West,0,0
620,The Nature Bar,4.4,51,"Salads, Keto, Burgers, Beverages, Mediterranean, American, Healthy Food, Grill, Greek",Jog Gor East,999,0
621,Aakash Sweets and Snacks,4.4,30,"Sweets, Snacks",Borivali West,0,0
622,Nagpal's Choley Bhature,4.1,36,North Indian,Malad Kan East,0,0
623,Mumbadevi Jalebi Wala,4.6,36,"Snacks, Sweets",Borivali,999,0
624,Chhotu's Kitchen,4.2,33,Chinese,Borivali West,0,0
625,Desai Bhaishankar Gaurishanar (K.P.),4.8,34,Sweets,Malad Kan East,700,10
626,Shree Makhan Bhog,4.1,38,"Chaat, Snacks, Sweets",Malad,0,0
627,Shawarma Heaven,4.3,38,"Lebanese, Chinese, Indian, Continental, Tandoor",Malad West,900,15
628,Sattva,4.4,35,"North Indian, Chinese",Borivali West,999,0
629,Seeta Nx,4.3,39,Chinese,Borivali West,0,0
630,Night Evil Chinese Food,4.1,38,Chinese,Borivali West,0,0
631,Bhoomi Kolhapuri,4.3,30,Street Food,Raja Dalvi Marg,0,0
632,Hotel Payal,4.3,38,"Indian, Chinese",Dahisar,0,0
633,Fling Confectionery,4.4,31,"Bakery, Desserts",Borivali,0,0
634,Pipasa,4.4,30,"Beverages, Snacks",Borivali,0,0
635,Dessert Junction,4.3,36,"Desserts, Fast Food",Borivali West,0,0
636,Bina's Fresh Batch Homemade Ice Cream,4.2,49,"Desserts, Ice Cream",Malad Kan West,1099,0
637,Samvene - The Bagel Cafe,4.5,55,"American, Burgers, Italian, Continental, Pizzas, Pastas, Beverages, Snacks",Malad West,900,15
638,Wokstreet,3.5,59,"Chinese, Fast Food",Malad Kan West,999,0
639,Moments,4.5,51,"Bakery, Desserts",Malad Kan West,0,0
640,Hotel Malvan Katta,4.2,44,Biryani,"VIthbhati, Goregoan (East) 3)",0,0
641,Sindhi Tadka,3.6,42,"Sindhi, North Indian, Indian",Kandivali West,0,0
642,Kokan Katta,4.2,57,"Seafood, Chinese, Indian, North Indian, Beverages, Biryani",Chincholi Bunder Road,449,0
643,The Fusion Kitchen,4.5,49,"Italian, Asian",Borivali West,0,0
644,Oriental Stir Fry,3.8,45,"Fast Food, Chinese, South Indian, Indian",Borivali,0,0
645,Zesty Kitchen,4.1,62,"Indian, Seafood, North Indian, Biryani, South Indian, Bengali, Malwani",Goregaon,900,15
646,Konkan Spice,4.3,52,"South Indian, Malwani",Malad West,0,0
647,Chholay,4.3,51,"North Indian, Indian, Jain",Malad West,449,0
648,British Brewing Company,4.3,53,"Italian, American, Indian, Asian",Goregaon East,0,0
649,Zoodles,4.6,59,"Pan-Asian, Chinese, Seafood, Thai, Asian, Desserts",Malad West,249,0
650,Shawarma House Express,4.1,47,"Indian, Beverages, Turkish",Malad Kan West,0,0
651,Hotel Jyoti,4.1,43,Indian,Malad Kan East,0,0
652,Ahare Bangla,4.8,69,Bengali,Malad Kan East,0,0
653,Classic Veg Restaurant,4.3,43,Chinese,Malad Kan East,0,0
654,The Boston Cafe & Patisserie,4.5,51,"Desserts, Bakery",Malad West,50,20
655,Makhan Maar ke,4.1,43,North Indian,Borivali West,0,0
656,Amber Restaurant,4.1,44,"Chinese, Indian, Tandoor",trikamdas road ,499,0
657,The Bombay Chaat Co by Spukies,4.3,47,"Chaat, South Indian, Juices, Beverages",Jog Gor East,800,10
658,Only Roti's,4.5,68,Desserts,Malad West,150,30
659,Om Snacks,4.5,49,"Pizzas, Pastas",Goregaon,0,0
660,Golden Leaf Restaurant,4.4,50,"Chinese, Street Food, South Indian",Kandivali West,749,0
661,The Local Eatery,4.3,50,"Indian, Chinese",Malad West,0,0
662,Nityanand Lunch Home And Hotel,3.8,47,"Biryani, Tandoor, Chinese",Jog Gor East,1000,10
663,Street Gourmet,4.1,40,"South Indian, Indian, Chinese",Borivali West,0,0
664,Spirit Kitchen and Bar,4.4,54,"Indian, Chinese",Borivali West,0,0
665,Hotel Shree Prabhu Niketan,4.3,41,"Indian, Chinese",Malad East,0,0
666,Image Restaurant,4.5,55,"North Indian, Chinese, Kebabs, Biryani, Mangalorean, Desserts, Tandoor",Goregaon West,0,0
667,J.B.Dynasty And Malwani Kalwan,4.4,48,"Chinese, Malwani, Indian, Oriental",Malad West,1500,10
668,The Mak Broasted Fastfood,3.6,63,"Continental, Italian",Malad Kan East,449,0
669,The Veg Treat Celebrations,4.5,41,"South Indian, Punjabi, Chinese, Italian, Mexican",Dahisar,0,0
670,Uncle's Corner,4.4,61,"Chinese, Tandoor, Seafood, Thai, Biryani, Indian",Borivali,0,0
671,Enrich Kulfi,4.6,40,"Desserts, Ice Cream",Malad West,999,0
672,Fort Kochi,4.2,53,"South Indian, Kerala",Goregaon,0,0
673,Samarth Sagar (Pure Veg),4.1,50,"Chinese, North Indian, South Indian, Chaat",Mumbai,0,0
674,Schumania,4.3,52,"Indian, Chinese",Borivali,999,0
675,Rollzilla,4.2,43,North Indian,Kandivali West,0,0
676,Healing Rice Bowls,3.9,62,"Indian, South Indian, Punjabi",Malad West,0,0
677,The Big Squeeze,4.1,54,"Juices, Healthy Food, Beverages",Malad West,499,0
678,"KBC - Kebaabs, Biryani, Curries",4.2,53,"Kebabs, Biryani, North Indian, Indian, Snacks",Goregaon East,249,0
679,The Chai Fusion,4.3,48,"Chinese, Continental",Borivali,100,10
682,Cake Valley,4.3,50,"Bakery, Desserts, Beverages",Malad Kan West,150,30
683,Cake & Bake,3.3,42,Bakery,Borivali West,0,0
685,Hotel Samadhan,4.3,59,"Malwani, Maharashtrian, Indian",Jog Gor East,0,0
686,The Waffle Man From the House Of Cookieman,4.1,58,"Waffle, Desserts, Ice Cream",Malad Kan West,80,40
687,Sigree Global Grill,4.3,64,"North Indian, Mughlai, Kebabs, Mediterranean, Greek, Turkish, Lebanese",Malad West,1099,0
688,Only Parathas,3.8,60,"North Indian, Thalis, Chaat, Chinese, Snacks, Beverages",Malad West,0,0
689,The King's Field,4.4,31,"Indian, Chinese, Tandoor, Snacks",Malad Kan East,0,0
690,Nagrik Sweets And Farsan,4.5,35,Indian,Dahisar,0,0
691,Rashmin Dairy Farm,4.1,32,Indian,Malad Kan East,0,0
692,Bbc Express-By Borivali Biryani Centre,4.4,35,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali,0,0
693,Emrik The Cake Point,4.5,34,"Bakery, Snacks, Desserts",Malad Kan West,449,0
694,Gayatri Sweets and Farsan,4.4,35,"North Indian, Fast Food, South Indian, Sweets",Borivali,0,0
695,Riga Chinese Corner,4.2,37,"Chinese, Indian",Dahisar,0,0
696,Magari,4.2,34,"Continental, Italian, Beverages",Kandivali West,999,0
697,shaan hotel,3.8,37,"North Indian, Indian",Malad Kan East,1000,50
698,Brijwasi Sweets and Snacks,3.9,36,Sweets,Kandivali West,749,0
699,Pav Bhaji Klub,4.3,36,Indian,Borivali,749,0
700,Tasty Chinese Hotel,4.5,36,Chinese,Malad Kan East,150,30
701,Wow Bistro - Evershine Club,4.8,46,Indian,Kandivali East,0,0
702,H & Charlie,4.3,58,"Burgers, Steakhouse, Desserts, Beverages, Cafe, Fast Food, Pastas",Borivali West,449,0
703,Royal Manglore,4.3,51,Meat,Dahisar,0,0
704,Healthy Deck,4.4,46,"Continental, Beverages, Keto, Ice Cream, Salads",Kandivali West,100,15
705,Delhi Darbar Biryani Hub,4.1,44,"Biryani, North Indian",Malad Kan East,0,0
706,Burgizza,4.4,56,"Pizzas, Italian",Malad West,749,0
707,Celebrations By Kilo,3.9,52,"North Indian, Chinese",Jog Gor East,0,0
708,Houseboat Cafe,3.9,56,"Kerala, South Indian",Malad Kan West,0,0
709,Veg Treat Regalia,4.5,42,"North Indian, Indian, Chinese, Continental",Borivali West,0,0
710,Oh! It's Fishy,3.9,49,"Indian, Tandoor, Seafood, Chinese",Dahisar East,0,0
711,Brijwasi Snack Foods,4.4,54,"Snacks, Street Food, Chaat, Fast Food",Malad Kan West,120,20
712,Daffodils 23,4.4,44,"Indian, Chinese, Beverages, Mexican, Continental",Kandivali West,599,0
713,Sumeruu,4.6,52,"Chinese, Indian",Dahisar West,0,0
714,Malvaniz,4.1,57,"Malwani, Seafood",Malad Kan East,0,0
715,Jayesh Food Centre,4.1,44,Chinese,Malad East,0,0
716,The Hangout Pizza Hub,4.3,57,Pizzas,Malad West,749,0
717,Royale Masterchef Finedine,4.5,59,"Indian, Chinese, Continental, Mexican, Lebanese",Dahisar West,1500,10
718,Subramanian Snacks,3.8,44,"South Indian, Chinese, Fast Food, Arabian, Tandoor",Goregaon,999,0
719,Goaikar's goan Cuisine,4.1,41,"North Indian, Seafood, Snacks",Borivali,0,0
720,The Gratitude Kitchen,4.3,51,"Indian, Burgers, Snacks, Fast Food, Salads, Desserts",Borivali,999,0
721,"KHA - Burgers, Fries, Fried Chicken",4.3,47,"Burgers, American, Fast Food",Malad Kan West,0,0
722,Hotel Sampoorna Samadhan (By Hotel Apala Samadhan),4.2,53,"Malwani, Indian, North Indian, Chinese",Borivali,0,0
723,Zyka E Lajawab,3.9,65,"Chinese, Street Food, Indian, Kebabs, Tandoor",Malad Kan West,125,25
724,Maldrin's Chinese Restaurant,4.2,53,Chinese,Malad West,449,0
725,Mishmashbakery,4.7,53,Bakery,Jog Gor East,999,0
726,Goan Katta,4.3,44,"Goan, Seafood, Indian, Beverages",Dahisar,0,0
727,The Moveable Feast,4.3,51,"North Indian, Chinese, Mughlai, Beverages, Biryani",Borivali West,999,0
728,Sisho - Oriental Pure Veg /Jain,4.3,46,Chinese,Jog Gor East,0,0
729,Little West Pizza,4.3,50,"Pizzas, Italian, Beverages",Dahisar,749,0
730,Flavours 21,4.3,42,"Chinese, Lebanese, Biryani, Thai",Malad East,700,20
731,Top Star,3.7,49,"Indian, Chinese, Tandoor, Biryani",Kandivali West,0,0
732,Fussion,3.7,43,"North Indian, Tandoor, Mughlai, Parsi, Indian, American, Desserts, Ice Cream",Malad East,449,0
733,Crab Kolambi Pomfret & More,4.3,54,"Maharashtrian, Seafood, Biryani, Desserts, Thalis",PIMPRIPADA,0,0
734,Amma's,4.4,46,"North Indian, Chinese, Tandoor, Beverages",Chincholi Cross Road,0,0
735,Classic Comfort,4.2,49,"Beverages, Indian, Chinese, South Indian, Fast Food",Jog Gor East,0,0
736,Papa'S Multi Cuisine,4.1,57,Indian,Malad Kan West,0,0
737,Royal Challenge,4.6,52,"Indian, Chinese",Goregaon,0,0
738,The Game Ranch,4.4,55,"Pizzas, North Indian, Burgers, Asian, Chinese",Malad Kan West,120,60
739,Bajrang Bhel Puri,4.3,43,"Snacks, Chaat",Malad West,0,0
740,Sapna Veg Restaurant,4.2,48,"North Indian, South Indian",Malad West,0,0
741,The Shawarma fellow,4.2,45,Arabian,Malad West,999,0
742,Olive Bistro & Bar,4.1,55,"Indian, Italian",Goregaon East,799,0
744,Garden Court Restaurant,4.3,60,"Indian, Chinese",Malad West,0,0
745,Adelkars Kitchen,4.4,47,Malwani,Goregaon West,0,0
746,Hill View,4.3,53,"Indian, Chinese",Dahisar West,0,0
747,70's Frogurt Hood,4.3,48,"Desserts, Ice Cream",Malad West,449,0
748,SMP Express,4.4,50,"Chinese, Tandoor, Indian, Continental",Goregaon East,449,0
749,Gupta Panipuri Center,4.3,42,"Chaat, Snacks",Kandivali West,0,0
750,Malad Marathi Katta,4.1,79,"Maharashtrian, Biryani, Indian",Malad West,1000,40
751,Cream Lounge,4.2,42,"Snacks, Desserts, Beverages, Ice Cream",Borivali West,0,0
752,Lassi & Falooda Co,3.9,56,"Ice Cream, Beverages, Juices, Indian, Snacks, Healthy Food",Malad West,0,0
753,All About salads,3.9,48,"Continental, Healthy Food, Salads",Malad Kan West,599,0
754,Gorai Kinara,4.2,44,"Malwani, Chinese, North Indian, Beverages",Borivali West,0,0
755,High On Wok - Sassy N Saucy,4.1,48,"Asian, Chinese, Salads",Aarey Road,0,0
756,Flag's,4.2,47,"North Indian, Chinese, Italian, Thai, Mexican",Malad West,1200,10
757,Namaskar,4.6,52,"Indian, Chinese, Tandoor, Biryani",Borivali west,500,10
758,Neelams pride,4.5,49,"Chinese, Indian, Snacks",Borivali West,0,0
759,Natural Fresh Ice Cream,3.5,43,"Ice Cream, Beverages",Malad Kan East,0,0
760,Hotel Amantran,4.2,41,Indian,Malad Kan East,0,0
761,Agent Jack's Bar,4.2,52,"Tandoor, Chinese, Pizzas, Salads, Indian, North Indian, Healthy Food, Pastas, Jain",Borivali West,0,0
762,New Chopsticks,4.4,31,Chinese,Kandivali East,0,0
763,Sagar Sweets,4.4,30,"Sweets, Snacks, Bakery",Borivali,0,0
764,City Samosa,3.9,33,"Snacks, Beverages",Malad Kan East,0,0
765,Cake Basket,4.4,27,"Bakery, Desserts",malad west ,449,0
767,Welcome Fast Food,4.5,33,"Fast Food, Snacks",Malad Kan East,0,0
769,Tea Square Bar,4.4,40,"Pizzas, Fast Food, Street Food, Juices, Beverages",Malad Kan East,0,0
770,Makabo By Juice Time,4.3,32,"North Indian, Chinese, Beverages",Borivali,449,0
771,New Sheetal Dugdhalaya,4.6,35,"Desserts, Sweets",Malad Kan West,0,0
772,Malvani swad,4.2,41,"Indian, North Indian",Malad Kan East,50,20
773,Snack Shack,4.4,53,"North Indian, Snacks",Borivali West,0,0
774,Shanghai Kitchen,4.1,53,"Chinese, Asian, Thai, Seafood, Beverages",Malad West,0,0
775,Burrp Pizza,4.3,66,"Italian, Pizzas",Malad Kan West,399,0
776,American Pie - Butter Crust Pizza,4.6,57,"Pizzas, Italian, Pastas",Malad Kan West,120,60
778,Momo's Mealbox,4.2,43,"Chinese, Arabian, Fast Food, Burgers, Snacks, Pastas",Borivali,499,0
779,Love & Latte,4.2,51,"Beverages, Desserts, Cafe, Pizzas, Snacks, Waffle, Pastas",Malad West,449,0
780,Sardaar Ji,4.3,60,"North Indian, Snacks, Chinese, Desserts",Malad Kan East,0,0
781,Cake Heaven,3.5,40,"Bakery, Snacks",Borivali,0,0
782,Bamboo Kitchen,3.7,42,"North Indian, Chinese, Biryani, Indian, Tandoor, Thai, Continental",Malad East,200,40
784,Dharma's Sandwich,3.6,48,"Italian, American, Grill, Pizzas, Pastas, Snacks, Beverages",Borivali,0,0
785,Hotel Ballaleshwar,3.8,43,South Indian,Malad East,0,0
786,Baithack,3.7,44,"Beverages, Fast Food, Snacks, Burgers",Malad Kan West,499,0
787,Great Indian Meals,3.8,55,"Mangalorean, North Indian, South Indian, Malwani",Goregaon,800,15
788,Gelato Italiano - Ice Cream,3.3,41,"Desserts, Ice Cream",Goregaon East,699,0
789,Brunch n Munch,4.5,50,"European, American, Continental, Italian",Malad West,0,0
790,Ruchi Restaurant,4.9,59,"Italian, Burgers, Pizzas, Pastas, Continental",Gor East,449,0
791,Farzi Cafe,4.2,50,Indian,Goregaon East,799,0
792,Cococart,4.6,48,"Desserts, Sweets",Jog Gor East,899,0
793,Kings Kulfi,4.7,40,Desserts,Goregaon East,0,0
794,6th Street Yogurt,4.2,55,"Desserts, Ice Cream",Malad Kan West,449,0
795,Diya's Kitchen,4.3,48,"South Indian, Snacks, Juices, Desserts",Dahisar West,100,20
796,Shamazing Sugarfree Desserts,4.3,49,"Desserts, Ice Cream",Evershine nagar,900,10
797,Rosh & Ron,4.2,54,"Chinese, Thai",Bmc Colony,80,15
798,Sahara Hotel,4.2,45,"Chinese, Continental",Goregaon East,0,0
799,Vedant kitchen,4.5,44,Indian,Malad Kan East,0,0
800,Chai Vibhaag,4.4,44,"Indian, Beverages, Snacks",Aarey Road,0,0
801,Potlibabas Kitchen,4.2,53,"Malwani, Biryani, Seafood, Salads",Borivali,0,0
802,Food Lord - The Dining Bar,4.3,43,"Chinese, Continental, Indian",Borivali West,600,10
803,Sweet heart cakes and more,3.6,50,Desserts,Kandivali West,999,0
804,Anna Dosa Point,3.3,46,South Indian,Goregaon West,0,0
805,Joyful Pizza,4.1,40,"Pizzas, Italian, Desserts, Beverages",Borivali,449,0
806,The Chinese Corner,2.6,50,"Chinese, Lebanese",Jog Gor East,0,0
807,Bao Bao,4.5,49,"Asian, Chinese, Beverages",Malad Kan West,749,0
808,Egg Station,4.7,50,"Indian, Snacks",Malad Kan West,0,0
809,Purohit Sweets,4.5,27,"Sweets, Fast Food, Desserts",Borivali,999,0
810,Rajus fast food,4.3,33,Fast Food,Dahisar,0,0
811,Yummy cake,4.1,39,"Bakery, Desserts",Dahisar West,0,0
812,Maxus Cakes,3.6,30,Bakery,Malad Kan West,0,0
813,World Famous Paratha,4.8,35,"Indian, Beverages",Borivali,0,0
814,Swadesi Dairy Products,4.5,30,"Desserts, Sweets",Kandivali West,0,0
815,Detox Cold Pressed Juice Bar,4.7,35,"Beverages, Juices",Dahisar East,999,0
817,Lavista Cake Shop,3.4,32,Desserts,Malad East,0,0
818,Davat Fast Food,4.5,35,"Arabian, Chinese",Malad Kan East,50,20
819,Golden Family Restaurant,2.2,37,"Continental, Oriental, Asian",Borivali,0,0
820,Ek Batta Do,4.5,38,"Beverages, Snacks, Burgers, Pastas",Borivali,0,0
821,Centre Point Dhaba,4.3,34,"North Indian, Chinese, Snacks",Borivali,1000,10
822,Red Indian Sizzlers,4.5,37,"Pizzas, Chinese, Continental",Kandivali West,0,0
823,Brownie Point Cakes Shop Frenchaies,4.4,26,"Indian, Bakery, Desserts",Borivali,999,0
824,Super (Borivali),4.3,39,"Chinese, Fast Food",Dahisar,0,0
826,Maa Laads Kitchen,4.3,75,"Home Food, Rajasthani, North Indian, Indian",Malad West,0,0
827,The Dragon House,4.3,51,"Chinese, Asian, Thai, Seafood",Malad Kan West,0,0
828,Crazy Dough Pizza,4.1,43,"Continental, Italian",Borivali West,0,0
829,Charlie's Chimney,4.3,43,"Chinese, Biryani",Malad Kan West,0,0
830,Panchmukhi,4.6,55,"Indian, North Indian, Chinese, Tandoor",Rajan Pada,0,0
831,Hotel Side Walk,4.3,40,"Indian, Chinese",Dahisar East,0,0
832,Rustam Darbar,3.6,48,"Chinese, North Indian, Mughlai",Malad Kan West,749,0
833,First Bytes Of Home,4.4,50,"Maharashtrian, Street Food, Fast Food",Borivali,0,0
834,Aadu's Kitchen,4.5,41,"Chinese, Thai, Indian, Snacks",Kandivali East,1500,10
835,Pappis Kitchen,4.3,42,"Indian, Chinese",Borivali West,0,0
836,Hotel Kokan Kinara,4.2,53,"North Indian, Seafood, Chinese, Tandoor",Borivali,0,0
837,Urban Bawarchi,4.6,45,"Snacks, Biryani, Desserts",Dahisar,0,0
838,Bubble Tea (Badabing Badaboom),4.3,54,Beverages,Malad Kan West,0,0
839,Break Fast Choice,3.7,56,Snacks,Goregaon,0,0
840,Al's Kitchen & Grill,4.6,54,"Indian, Chinese, Thai, Tandoor, Fast Food",Malad West,0,0
841,Geeta Z Veg Hub & Tiffin Service,4.5,48,"Indian, Snacks, North Indian",Dahisar,0,0
842,Q Fussion,4.3,58,Chinese,Borivali,0,0
843,Urban Aladdin,4.3,54,"Tandoor, Mughlai, Chinese, Thai, Biryani, North Indian, Pizzas",Malad West,0,0
845,Royal Chinese Corner,4.3,40,Chinese,Dahisar,0,0
848,Marhaba,4.6,60,Chinese,Malad Kan West,0,0
850,Huber And Holly,4.3,50,"Ice Cream, Desserts",Malad West,0,0
851,The Bihari Studio,4.4,51,Indian,Kandivali East Lokhandwala,0,0
852,Franco's Pizzeria,4.2,40,"Pizzas, Pastas, Fast Food, Italian",Kandivali West,150,30
853,Farmhouse Brass Anchor,4.4,42,"Asian, Continental",Borivali,0,0
854,Pednekar Kitchen,3.9,49,Seafood,Kandivali East,0,0
855,The Fusion Express,4.1,50,"North Indian, Chinese, Tandoor, Biryani",Kandivali,150,30
856,Olive Garden,3.9,40,"North Indian, Italian, Mexican",Borivali West,0,0
857,Has Juice & More,4.1,42,"South Indian, North Indian, Chinese, Desserts",Goregaon East,0,0
858,B for Biryani,4.3,55,"North Indian, Biryani, Kebabs, Chinese, Asian, Thai, Mughlai",Malad West,0,0
859,Kwanz,4.6,25,"Chinese, Indian, Biryani",Malad Kan East,0,0
860,Moyra Da,2.8,17,"Bengali, Sweets, Snacks",Malad Kan East,50,20
862,Hapningzs,4.7,49,"Chinese, Indian, Tandoor, Biryani",Kandivali borivali East,0,0
863,Tandoor Cafe,2.7,33,Beverages,Kandivali East,0,0
864,From The Wok,4.7,23,Chinese,Malad kan east,700,20
865,Little Cherry,4.3,23,Desserts,Malad Kan East,0,0
867,Kulhad Rani,3.9,27,"Beverages, Snacks, Chinese",Malad Kan East,200,40
868,Bottle Booth,2.8,23,Beverages,Malad Kan East,0,0
869,99 Waffles,3.9,31,"Waffle, Desserts, Beverages",Mahavir Nagar,499,0
870,Akkad Bakkad Bombay Boom,3.8,33,"Fast Food, Italian, Beverages",Kandivali East,0,0
871,The Foodstagram,4.3,33,"Indian, Chinese, Biryani, Beverages",Kandivali East,50,20
872,Dessero Cake Shop,4.5,42,"Bakery, Desserts, Waffle, Beverages, Burgers",Borivali,0,0
877,Swad deshi mataka,4.5,45,"Biryani, Indian",Borivali East,0,0
879,Boba And Mocha,4.8,15,Beverages,Malad Kan East,0,0
880,Dharma's sandwich - Thakur Village,4.1,31,"Pizzas, North Indian, Grill, Beverages",Kandivali East,50,20
881,Subhash Pan Bhandar And Coldrinks,4.5,21,Paan,Malad Kan East,749,0
882,Santushti Shakes And More,4.5,19,"Desserts, Waffle, Ice Cream",Malad Kan East,0,0
884,Shahi Caterers,3.9,31,"Biryani, Indian",Borivali,0,0
885,Janta Farsan And Sweets,4.4,34,"Sweets, Snacks, Indian",Malad East,0,0
886,Surti Egg Point,3.9,34,Indian,Borivali,0,0
887,MH11 Assal Missal,4.1,30,"Street Food, Maharashtrian, Indian",Dahisar,120,20
888,Momos Canteen,4.3,38,"Chinese, Tibetan",Dahisar East ,0,0
889,Nuvola Gelato,4.6,14,Ice Cream,"Kandivali, Malad East",0,0
890,Western Tadka,3.8,39,"Italian, North Indian, South Indian, Beverages, Snacks, American, Chinese, Salads, Rajasthani, Tandoor, Lebanese, Hyderabadi, Kebabs, Juices, Biryani",Borivali West,175,35
891,Kanha Sweets Snacks And Dryfruit,3.7,34,"Snacks, Chaat, Sweets, Beverages, Desserts",Borivali,0,0
892,Momo Guy,3.7,46,"Chinese, Fast Food, Beverages",Borivali,449,0
893,# Vegan,4.7,46,"North Indian, Chinese",Borivali,449,0
894,Bhau Cha Dhakka,3.8,50,"Indian, Chinese, North Indian",Dahisar West,0,0
895,Viola Patisserie,4.3,50,Desserts,G2 GARNET PALLADIUM,0,0
896,My Little Cafe,4.3,53,"Cafe, Pizzas",Jog Gor East,0,0
897,Hotel sekar,4.8,45,South Indian,Borivali,0,0
898,Sultans Deli,4.3,57,"Arabian, Lebanese",Malad West,100,20
899,MexiChino,4.4,41,"Mexican, Chinese",Borivali West,0,0
900,RTC 2 - Rolls and Chicken Grills,4.1,45,"Snacks, Fast Food, North Indian, Street Food",Dahisar West,449,0
901,Soda Frankie Hub,4.1,49,"Indian, Fast Food",Malad Kan West,0,0
902,SHEIK'S Shawarma,4.3,47,"Lebanese, Mediterranean, Arabian, Middle Eastern, Beverages, Desserts, Bakery, Jain",Jog Gor East,449,0
903,Mastee,4.3,53,"Italian, Continental",Borivali West,0,0
904,The Veg Treat Legacy,4.4,40,"Chinese, South Indian, Biryani, Indian",Borivali,600,10
906,Monopoly Restaurant & Juice House,3.7,51,"Continental, Beverages",Malad West,0,0
907,Laxmi Vilas,4.3,49,"North Indian, Chinese, Seafood",Daftary Road,100,15
908,Pritam Fast Food,4.2,44,"Chinese, Beverages, South Indian, Indian, Fast Food",Jog Gor East,0,0
909,Smoothie Bar Inc,4.1,50,"Juices, Beverages",Malad West,499,0
910,Bombay Cycle Cafe,4.4,45,Pizzas,Borivali,125,25
911,White House Cafe,4.1,58,"Italian, Beverages",Borivali,999,0
912,Shuddhi,4.4,61,"North Indian, Chinese",Malad West,0,0
913,Muchhad Paanwala,4.5,44,Paan,Borivali West,0,0
914,Parathas And Meals,4.6,58,Indian,Ganesh Chowk,0,0
915,Bangalore Iyyangars Bakery,4.4,45,Bakery,Malad Kan West,0,0
916,Suriya's Kitchen,4.3,53,"Thai, Chinese, Asian",Borivali,749,0
917,The Hangout Burger Hub,4.5,57,"Fast Food, Snacks, American",Malad West,0,0
918,The Grove Kitchen And Bar,4.3,49,Indian,Dahisar,150,30
920,Aaradhya Family Chinese Corner,3.9,47,Chinese,Borivali West,0,0
921,Sam Snacks,4.6,60,"Indian, South Indian",Malad East,0,0
922,Bollywood Burger & Waffles CO,3.9,45,Indian,Dahisar West,449,0
923,Sweet Touch By Landmark,3.7,59,"Desserts, Sweets",Malad Kan West,599,0
924,Moktu,4.7,56,Chinese,Malad Kan West,0,0
925,Natural juice center,2.9,46,"Beverages, Ice Cream",Malad Kan West,0,0
926,The Boat Club,4.3,53,"Indian, Thai",Dahisar East,0,0
